	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F850137482","External causes of morbidity or mortality")	0														
-	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F491063206","Maltreatment")	0														
- -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1192102653","Sexual maltreatment")	0														
- -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F109729818","Psychological maltreatment")	0														
- -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F282888955","Physical maltreatment")	0														
- - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F2056954554","Shaken infant syndrome")	0														
- - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1196232311","Battered spouse syndrome")	1														=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F106218078","Spouse or partner")
- - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1202255591","Battered baby syndrome")	0														
-	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F980862652","Unintentional causes")	0	UNINT													
- -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F425728062","Unintentional exposure to other mechanism")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F425728062","Exposure to other mechanism")												
- - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1096126699","Unintentional other specified privation")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1096126699","Exposure to other specified privation")												
- - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F13746702","Unintentional lack of water")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F13746702","Lack of water")												
- - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1097373678","Unintentional exposure to foreign body in orifice")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1097373678","Foreign body in orifice")												
- - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F136660883","Unintentional exposure to radiation")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F136660883","Exposure to radiation")												
- - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F158657831","Unintentional exposure to non-ionizing radiation")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F158657831","Exposure to radiation")												
- - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1223737282","Unintentional exposure to ionizing radiation")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1223737282","Exposure to ionizing radiation")												
- - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1405623749","Unintentional exposure to physical overexertion")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1405623749","Exposure to physical overexertion")												
- - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F432499949","Unintentional exposure to explosion ")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F432499949","Exposure to explosion")												
- - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1697220900","Unintentional exposure to explosion or rupture of pressurised materials or object")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1697220900","Exposure to explosion or rupture of pressurised materials or object")												
- - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1509817773","Unintentional exposure to explosion or rupture of fireworks")	2	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1509817773","Exposure to explosion")	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F888867566","Fireworks")											
- - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1282031649","Unintentional exposure to explosion or rupture of other specified pressurised devices")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1282031649","Exposure to explosion")												
- - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1864132942","Unintentional exposure to explosion or rupture of high pressure jet")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1864132942","Exposure to explosion")												
- - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F2131829177","Unintentional exposure to explosion or rupture of gas cylinder")	2	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F2131829177","Exposure to explosion")	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1643145190","Gas cylinder")											
- - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1049981790","Unintentional exposure to explosion or rupture of pressurized tyre, pipe, or hose")	2	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1049981790","Exposure to explosion")	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1028781286","Pressurised hose, pipe")											
- - - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F2095925713","Unintentional exposure to explosion or rupture of boiler")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F2095925713","Exposure to explosion")												
- - - -	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1944518956","Unintentional exposure to chemical explosion ")	1	UNINT	=HYPERLINK("https://icd.who.int/dev11/f/en#/http%3A%2F%2Fid.who.int%2Ficd%2Fentity%2F1944518956","Exposure to chemical explosion")												
